"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"	"Effect_size"	"ColorGroup"
"s_Bacteroides_cellulosilyticus_sv_7"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	25.9110079801578	0	25.8556723905528	0	7.16824440943207	0	-0.926925337709208	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_cellulosilyticus_sv_6"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	32.1424226502457	0	30.0599221812864	0	9.40867695322135	0	-0.920132444860779	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_cellulosilyticus_sv_2"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	61.9701287066914	0	61.5973371657286	0	18.3924203661644	0	-0.918372869193648	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Phascolarctobacterium_faecium_sv_121"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	4.05571815547314	0	3.81500969039747	0	1.4422756057794	0	-0.89157616089844	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_75"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	3.64806485761179	0	3.51535522355592	0	1.57504643971823	0	-0.854042606360538	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Bacteroides_thetaiotaomicron_sv_41"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	9.65985220768495	0	8.50333610705345	0	4.21764370246823	0	-0.851571717192163	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Otoolea_symbiosa_sv_170"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.06936758035491	0	1.79067204322698	0	0.927378822450548	0	-0.84569507826197	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_15"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	16.8407958471244	0	14.3258274673275	0	8.12159729273615	0	-0.82816217689093	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_65"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	4.28794769608638	0	3.99185291254346	0	2.15245173884242	0	-0.817962644427824	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_merdae_sv_108"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	3.869142379927	0	3.76754408286944	0	1.94537967105225	0	-0.817539850841351	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Barnesiella_intestinihominis_sv_64"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	6.61575290583471	0	6.10570382596084	0	3.37033322129252	0	-0.814096322552719	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Parabacteroides_distasonis_sv_77"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	3.64188385263883	0	2.99083005232897	0	1.87521796795801	0	-0.811265435721649	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"uc_g_Dialister_sv_16"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	1.52198894535625	10.8040836537384	1.74855543734278	10.0299009528817	1.02946566005171	4.79672103382408	16	-0.803696242314199	3.95482815271543e-09	52	"B2"	3.22318494446308e-08	"Large effect"	"B2 Large effect"
"s_Bittarella_massiliensis_sv_417"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.670324168777716	0	0.5630999101959	0	0.362980248062146	13.5	-0.797484572446523	1.12519126534921e-10	52	"B2"	1.87149159440737e-09	"Large effect"	"B2 Large effect"
"s_Flavonifractor_plautii_sv_239"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.683715064335469	0	0.563023786925537	0	0.370404695625212	0	-0.797353356928586	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Otoolea_symbiosa_sv_178"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	1.93291500592718	0	1.6440270748136	0	1.06278892240493	0	-0.793169818600207	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Sutterella_wadsworthensis_sv_193"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	1.80477053981641	0	1.85129556438115	0	1.01379660498085	13.5	-0.78702352707429	1.12519126534921e-10	52	"B2"	1.87149159440737e-09	"Large effect"	"B2 Large effect"
"s_Tidjanibacter_inops_sv_122"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.17768616251987	0	1.98435374343727	0	1.30460998514339	27	-0.767827914522415	4.25395320958751e-10	52	"B2"	4.68509711596462e-09	"Large effect"	"B2 Large effect"
"s_Avimicrobium_caecorum_sv_512"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.492951266617863	0	0.421894078059896	0	0.29645525206725	27	-0.76664856008805	4.25395320958751e-10	52	"B2"	4.68509711596462e-09	"Large effect"	"B2 Large effect"
"s_Enterocloster_lavalensis_sv_457"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.461854472120059	0	0.449614220660267	0	0.283651451246023	27	-0.760140133417539	4.25395320958751e-10	52	"B2"	4.68509711596462e-09	"Large effect"	"B2 Large effect"
"s_Barnesiella_intestinihominis_sv_175"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	1.75867946248655	0	1.52642595649021	0	1.0941115300912	0	-0.756096840565635	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Flavonifractor_plautii_sv_124"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	1.54031504546408	0	1.25116397094564	0	0.96077675678322	0	-0.755269622649	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
"s_Holdemania_filiformis_sv_563"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.317390757145392	0	0.312790992736409	0	0.199527708426735	54	-0.75279151996361	5.28917000822065e-09	52	"B2"	3.91879414245439e-08	"Large effect"	"B2 Large effect"
"s_Thomasclavelia_sp000508865_sv_149"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.50133558570381	0	2.28191084451187	0	1.57760419177613	0	-0.751753187765242	2.83471678844937e-11	52	"B2"	9.626225760776e-10	"Large effect"	"B2 Large effect"
